"CAMPO_NOMEPROP","Proprietário"
"CAMPO_TIPOPESSOA","Pessoa Física/Jurídica"
"CAMPO_NUMRGINSC","RG/Insc. Est."
"CAMPO_RGORGAO","Órgão Expedidor"
"CAMPO_NUMCPFCNPJ","CPF/CNPJ"
"CAMPO_ENDERECOPROP","Endereço do Proprietário"
"CAMPO_NOMEIMOVEL","Nome do Imóvel"
"CAMPO_AREAREG","Área Registrada (ha)"
"CAMPO_AREAMED","Área Medida (ha)"
"CAMPO_PERIMETRO","Perímetro (m)"
"CAMPO_ILHAS","Número de Ilhas Internas"
"CAMPO_MATRICULA","Matrícula"
"CAMPO_LIVRO","Livro"
"CAMPO_FOLHA","Folha"
"CAMPO_MUNICIPIODOC","Município Documento"
"CAMPO_MUNICIPIOATUAL","Município Atual"
"CAMPO_COMARCA","Comarca"
"CAMPO_UF","UF"
"CAMPO_SEDE","Sede (cidade próxima)"
"CAMPO_RODOVIA","Rodovia a seguir"
"CAMPO_LOCAL","Local (ponto de referência)"
"CAMPO_KMSEDE","Km da Sede ao Local"
"CAMPO_KM2","Km do Local ao Imóvel"
"CAMPO_SENTIDO","Sentido a seguir (rumo)"
"CAMPO_CCIR","CCIR"
"CAMPO_ART","ART"
"CAMPO_DATAINICIO","Data Início"
"CAMPO_DATAFIM","Data Fim"
"CAMPO_DATUM","Datum"
"CAMPO_ZONAUTM","Zona UTM"
"CAMPO_NUMBASES","Número de Bases"
"CAMPO_NUMPONTOS","Número de Pontos"
"CAMPO_BASESRBMC","Bases da RBMC"
"CAMPO_NOMEBASE","Nome Marco Base Local"
"CAMPO_DIABASE","Dia do Proc. De Base"
"CAMPO_TEMPOBASE","Tempo das Bases (h)"
"CAMPO_GDOP","GDOP"
"CAMPO_NUMEROSATELITES","Número de Satélites"
"CAMPO_DN","Desvio Padrão dN"
"CAMPO_DE","Desvio Padrão dE"
"CAMPO_DH","Desvio Padrão dH"
"CAMPO_EMPRESA", "Empresa Responsável"
"CAMPO_EMPCREA", "CREA da Empresa"
"CAMPO_EMPCNPJ", "CNPJ da Empresa"
"CAMPO_EMPENDERECO", "Endereço da Empresa"
"CAMPO_EMPCIDADE", "Cidade e UF da Empresa"
"CAMPO_EMPFONES", "Telefones de contato"
"CAMPO_EMPINTERNET", "Endereço na Internet"
"CAMPO_TECNICO", "Nome do Técnico"
"CAMPO_RGTECNICO", "RG do Técnico"
"CAMPO_RGORGTEC", "Orgao do RG (Técnico)"
"CAMPO_CPFTECNICO", "CPF do Técnico"
"CAMPO_CREA", "CREA do Técnico"
"CAMPO_MARCOINCRA", "Código cred. INCRA"
"CAMPO_VISTO", "Nº Visto do Técnico"
"CAMPO_GPSMARCA","Marca aparelho GPS"
"CAMPO_GPSMODELO","Modelo aparelho GPS"
"CAMPO_GPSSOFTWARE","Software do GPS"
